ogc_fid,m_per_year,aquifer,broader
456,0.06646528,Pampa del,-
457,2.5568E-4,Lower Copi,Copiapo Va
574,0.17083333,Aguilas Ba,-
458,2.03890152,Middle Cop,Copiapo Va
459,2.46762897,Upper Copi,Copiapo Va
575,-0.11375,Rio Verde,-
576,-0.18625,Motril-Sal,-
460,0.37641667,Upper Rio,Elqui Rive
577,-0.0309375,Velez Aqui,-
461,0.14670833,Lower Rio,Elqui Rive
462,0.035,La Yarada,-
463,0.00178571,Calama Bas,-
464,0.1535,Agua Verde,-
465,0.08361111,Limari Bas,-
466,0.23025,Azapa Aqui,-
467,0.54363636,Southern S,Santiago B
468,0.62727273,Central Sa,Santiago B
469,0.50869792,Northern S,Santiago B
470,1.33394231,Chacabuco-,-
471,0.33409091,Lower La L,La Ligua A
578,0.0405625,Bajo Guada,-
472,0.98494792,Upper La L,La Ligua A
473,0.90197802,Upper Acon,Aconcagua
474,0.02233173,Middle Aco,Aconcagua
475,0.10208333,Lower Acon,Aconcagua
476,0.10833333,Northern A,Aconcagua
477,0.03324405,Lower Rio,Rio Huasco
478,0.1,Lower Rio,Rio Petorc
479,0.19532692,Upper Rio,Rio Petorc
480,0.46803571,Lo Orozco,-
481,0.7845,Lo Ovalle,-
719,0.86833333,Miami Basi,-
482,0.76873611,La Vinilla,-
483,0.12414683,Limache Aq,-
484,0.575,Codegua an,-
485,0.03041667,Donihue-Co,-
486,0.78027778,Popeto Aqu,-
487,0.3828125,Cholqui Aq,-
488,0.1159375,Puangue Aq,-
489,0.17,Cadenas Ma,-
490,-0.09590909,Tinguiriri,Tinguiriri
491,-0.08590909,Tinguiriri,Tinguiriri
492,0.00166667,Chimbarong,Chilean Ce
493,0.00785714,Peumo-Pich,-
494,0.19533333,Central Ur,Urucuia Aq
720,0.31854167,Biyarjoman,-
495,-0.18142857,Southweste,Guarani Aq
496,-0.28630952,Central Pa,Guarani Aq
497,-0.00364286,Northern G,Guarani Aq
498,-0.19,Amazonas B,Amazon Aqu
499,0.17416667,Eastern Po,Parnaiba B
721,0.28954044,Chahak Mus,-
500,0.02375,Western Pa,Parecis Ba
501,0.12071429,Eastern Pa,Parecis Ba
502,-0.02374958,Aguadilla-,Puerto Ric
503,-0.02243667,Arecibo-Ma,Puerto Ric
504,0.02844808,Puerto Ric,-
505,0.009144,Lajas Vall,-
506,-0.02941667,Culiacan C,-
507,0.06325,Southern M,-
508,0.00145833,Lannemezan,Aquitaine
509,0.01569444,Landes Pla,Aquitaine
510,0.0095,Northern A,Aquitaine
511,0.00183929,Southweste,Aquitaine
512,0.02175,Central Pa,Paris Basi
513,0.005,Eastern Pa,Paris Basi
514,0.01672321,Western Pa,Paris Basi
515,0.03313368,Northern P,Paris Basi
516,0.01182692,Southern P,Paris Basi
517,0.00505208,Western Ar,Armorican
518,-0.00958333,Eastern Ar,Armorican
722,0.56708333,Sedeh Basi,-
519,0.01,Alsatian A,-
520,-0.001,Allier Bas,-
521,0.00225,Camargue P,-
522,0.001875,Crau Plain,-
523,-0.01480952,Narbonne B,-
524,-0.03845192,Thau Lagoo,-
579,0.03667411,Marbella-E,-
525,0.0,Southern D,Duero Basi
580,0.01818182,Almonte-Ma,Guadalquiv
526,-0.03568182,Eastern Du,Duero Basi
581,-0.01852381,Seville-Ca,Guadalquiv
527,-0.03583333,Northern D,Duero Basi
528,-0.142,Madrid-Tal,-
529,0.0313125,Moor Limes,-
530,0.00242857,Cretaceous,-
531,-0.9183125,Mancha Occ,Upper Guad
532,-0.04563492,Campo De M,Upper Guad
533,-0.27,Sierra de,Upper Guad
534,-0.28404762,Mancha Ori,-
535,-0.01541667,Campo de C,-
536,-0.13983333,Vega Baja,-
537,-0.04525,Guadalenti,-
538,1.804,Aledo Aqui,-
539,1.83808333,Sierra Esp,-
586,-0.00535714,Ranas Orbi,-
723,0.345,Mokhtaran,-
587,1.103125,Northern L,North Chin
724,0.2075,Sarbisheh,-
725,0.16,Southern S,-
726,0.11391667,Sahlabad B,-
588,0.11318182,Central Li,North Chin
589,0.05723214,Northeaste,North Chin
590,0.24670833,Northern P,North Chin
591,0.74779762,Northcentr,North Chin
592,0.42,Southern P,North Chin
593,-0.07363636,Southcentr,North Chin
727,0.21516667,Nehbandan,-
1128,-0.03597222,Bundaberg,-
594,0.05181818,Yellow Riv,North Chin
595,0.22869318,Central Al,North Chin
596,0.01727273,Yinchuan P,-
597,-0.02090909,Northern N,Songnen Pl
728,0.056,Ramhormoz,-
598,0.035,Wuyuer-Shu,Songnen Pl
599,0.6425,Western Se,Songnen Pl
600,0.05556818,Eastern Se,Songnen Pl
601,0.04,Southern N,Songnen Pl
602,0.37545455,Western Li,Liaohe Riv
603,-0.00454545,Lower Liao,Liaohe Riv
604,1.04590909,Northern L,Laoha Rive
605,-0.06363636,Laizhou Co,-
729,0.13833333,Myghan Bas,-
606,0.00727273,Jiangsu Co,Huaihe Riv
730,0.0325,Bandan Bas,-
607,0.07090909,Eastern Hu,Huaihe Riv
731,0.5584375,Hashtgerd,-
608,-0.24090909,Southern H,Huaihe Riv
732,0.27222222,Northern H,-
609,0.3275,Western Hu,Huaihe Riv
610,0.17,Central Hu,Huaihe Riv
611,0.08727273,Hetao Basi,-
612,0.45363636,Hohhot Bas,-
613,0.03863636,Baotao Pla,-
614,-0.64272727,Baoju Upli,Weihe Basi
733,0.095625,Southern H,-
734,-0.08569444,Uraba Aqui,-
615,-0.06590909,Gushi Depr,Weihe Basi
616,0.03909091,Xian Depre,Weihe Basi
617,2.48909091,Yuncheng B,-
618,0.38909091,Linfen Bas,-
619,-2.58125,Taiyuan Ba,-
620,0.05545455,Datong Bas,-
621,1.59454545,Jining Are,-
622,-1.286875,Minqin Bas,Shiyang Ba
623,0.37625,Wuwei Basi,Shiyang Ba
735,0.22691468,Dastgerdan,-
624,0.05454545,Zhangye Ba,Heihe Basi
625,0.2875,Shandan Ba,Heihe Basi
736,0.11166667,Tabas Basi,-
626,0.27590909,Nanyang Ba,-
737,0.0385,Halvan Bas,-
1129,-0.0671875,Broome-Wal,-
1130,0.02835714,Canning Ba,-
627,-0.26909091,Jianghan P,-
628,0.05863636,Chengdu Pl,-
629,-0.28727273,Yangtze De,-
630,0.55545455,Shihezi Ar,-
631,0.63363636,Kongque Pi,-
632,0.17975,Jahrom Bas,-
633,1.3,Eastern Sa,Ram-Saq Aq
634,0.2225,Wadi As-Si,-
635,0.21825397,Southcentr,Mega Aquif
636,0.20384615,Northcentr,Mega Aquif
637,-0.026,Northern M,Mega Aquif
638,0.72229167,Sib-Souran,-
639,0.67350774,Darab Basi,-
640,0.71473849,Jiroft Pla,-
641,0.4725,Bam and Ra,-
642,0.595,Sirjan Bas,-
643,0.315,Rodan Basi,-
644,0.53035985,Rafsanjan,-
645,0.64892857,Upper Mash,Mashad-Nar
738,0.01104167,Nahavand P,-
646,0.4196875,Central Ma,Mashad-Nar
647,1.46,Narimani B,Mashad-Nar
739,0.4075,Gulgir Pla,-
648,0.8825,Western To,Torbat-Zav
649,1.01571429,Eastern To,Torbat-Zav
650,2.6202036,Rashtkhar,-
651,1.01747396,Southern N,Neyshabur
652,0.3822123,Western Ne,Neyshabur
740,0.55358333,Bahabad Pl,-
653,1.31215476,Eastern Ne,Neyshabur
654,0.09171875,Bojnourd P,-
741,0.56704167,Bahadoran,-
655,0.395625,Quchan Pla,Shirvan-Qu
656,0.48546875,Shirvan Pl,Shirvan-Qu
742,0.44038194,Yazd-Ardak,-
657,0.89522727,Jovin Plai,-
743,0.08064583,Kavir Dara,-
658,0.97369277,Northern Q,Qazvin Pla
659,1.7434375,Western Qa,Qazvin Pla
744,0.01,Nayband Ba,-
745,0.09,Nosrat Aba,-
660,1.6416369,Southern Q,Qazvin Pla
661,1.2125,Aliabad Pl,-
662,1.06,Kashmar-Ba,-
663,0.32958333,Sabzevar P,-
664,0.27110101,Ataiyah Ba,-
665,0.965,Azghand Ba,-
666,0.91322917,Feyzabad P,-
667,0.375,Sefid-Dash,-
668,0.48354167,Kashan Pla,-
669,0.66300366,Bad-Khaled,-
670,0.49769231,Ardestand,-
671,0.0241875,Dagh-e-Sor,-
672,0.20748397,Bazman Bas,Jazmurian
673,0.30990385,Iranshahr,Jazmurian
