Program,Year,Period,Geo Level,State,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2023,YEAR,STATE,WYOMING,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"32,768",74.7
CENSUS,2023,YEAR,STATE,WYOMING,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"34,000",72.5
CENSUS,2023,YEAR,STATE,WYOMING,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"6,790",95.1
CENSUS,2023,YEAR,WATERSHED,NEW ENGLAND,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"7,136",26.6
CENSUS,2023,YEAR,WATERSHED,MID-ATLANTIC,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,312,59.2
CENSUS,2023,YEAR,WATERSHED,MID-ATLANTIC,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"1,315",72.9
CENSUS,2023,YEAR,WATERSHED,MID-ATLANTIC,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"4,908",36.3
CENSUS,2023,YEAR,WATERSHED,SOUTH ATLANTIC-GULF,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"46,744",55.7
CENSUS,2023,YEAR,WATERSHED,SOUTH ATLANTIC-GULF,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"42,780",46.6
CENSUS,2023,YEAR,WATERSHED,SOUTH ATLANTIC-GULF,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"72,813",36.8
CENSUS,2023,YEAR,WATERSHED,GREAT LAKES,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"1,230",44.3
